Company Name,Year of experience,Job location,Skills required,Publised days ago
alliance recruitment agency,5 yrs,"Delhi,  Delhi/NCR","tds  ,  forecasting  ,  gst  ,  accounting  ,  accounts manager  ,  budgeting  ,  cash flow management  ,  annual reports  ,  accounts  ,  tally  ,  book keeping  ,  finance",1.0
alliance recruitment agency,4 yrs,Ahmedabad,"svn  ,  storage  ,  database  ,  security  ,  node.js  ,  git  ,  api",1.0
alliance recruitment agency,5 yrs,Ahmedabad,"ats  ,  it recruitment  ,  recruitment  ,  time management  ,  IT recruiter  ,  communication skills",1.0
BOSTON SCIENTIFIC,8 yrs,,"digital marketing  ,  medical  ,  campaign optimization  ,  campaigns  ,  marketing analytics  ,  digital analytics  ,  digital advertising  ,  marketing  ,  google analytics",1.0
MSF India,4 yrs,Patna,"emergency  ,  hiv  ,  md  ,  dnb  ,  icu  ,  ill  ,  diagnosis  ,  intubation  ,  iv  ,  internal medicine  ,  infection control  ,  healthcare  ,  health  ,  medicine  ,  doctor",1.0
netskope software pvt.ltd,10 yrs,Bengaluru / Bangalore,"fundamentals  ,  algorithms  ,  c    ,  memory management  ,  security  ,  linux  ,  data structures  ,  python  ,  c  ,  gdb  ,  bscs",1.0
netskope software pvt.ltd,11 yrs,Bengaluru / Bangalore,"interpersonal skills  ,  Security  ,   Cryptography",1.0
netskope software pvt.ltd,11 yrs,Bengaluru / Bangalore,"interpersonal skills  ,   Security  ,   Cryptography",1.0
Qualhon Informatics Pvt. Ltd.,4 yrs,Mohali,"laravel  ,  html5  ,  storage  ,  javascript  ,  database  ,  web application developer  ,  php  ,  mysql  ,  database handling  ,  mvc  ,  mongodb",1.0
zscaler softech pvt ltd,13 yrs,Bengaluru / Bangalore,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
zscaler softech pvt ltd,13 yrs,Bengaluru / Bangalore,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
zscaler softech pvt ltd,13 yrs,,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
zscaler softech pvt ltd,13 yrs,,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
zscaler softech pvt ltd,13 yrs,,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
zscaler softech pvt ltd,13 yrs,,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
zscaler softech pvt ltd,13 yrs,Bengaluru / Bangalore,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
Larsen & Toubro Infotech Ltd,7 yrs,,"microsoft technologies  ,  senior software engineer  ,  bootstrap  ,  database  ,  asp.net  ,  web api  ,  software engineer  ,  mvc  ,  c#  ,  entity framework  ,  .net",1.0
Larsen & Toubro Infotech Ltd,3 yrs,Mumbai,"adapters  ,  oracle  ,  mq  ,  tibco  ,  tibco bw  ,  messaging  ,  ibm db2  ,  database  ,  bw  ,  software engineering  ,  software engineer",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"c#  ,  fundamentals  ,  html5  ,  java  ,  .net  ,  software engineering  ,  html  ,  software engineer  ,  angularjs",1.0
Larsen & Toubro Infotech Ltd,10 yrs,,"software engineering  ,  web api  ,  software engineer  ,  mongodb  ,  c#  ,  github  ,  mq  ,  .net  ,  c#.net",1.0
alliance recruitment agency,5 yrs,Hyderabad/Secunderabad,"html5  ,  team player  ,  bootstrap  ,  javascript  ,  git  ,  web developer  ,  codeigniter  ,  mysql  ,  web development  ,  website development  ,  api  ,  press",1.0
bitscape infotech pvt. ltd.,5 yrs,Ahmedabad,"bi  ,  security  ,  database  ,  etl tool  ,  bi developer  ,  ssis  ,  gateway",1.0
zscaler softech pvt ltd,13 yrs,Bengaluru / Bangalore,"tcpdump  ,  security  ,  database  ,  apache  ,  linux  ,  debugging  ,  perl  ,  python  ,  gateway  ,  unix",1.0
Era University,5 yrs,Lucknow,"3d modeling  ,  character modeling  ,  modeling  ,  3d modeler  ,  texturing  ,  artist  ,  vfx  ,  zbrush  ,  maya  ,  animation  ,  3d  ,  autodesk 3ds max  ,  3d modeller",1.0
Larsen & Toubro Infotech Ltd,3 yrs,Pune,"css  ,  gwt  ,  ajax  ,  spring  ,  java  ,  xml  ,  software engineering  ,  multithreading  ,  html  ,  oracle",1.0
Koch Global Business Services,8 yrs,Bengaluru / Bangalore,"business partner  ,  career planning  ,  hr  ,  talent acquisition  ,  workforce planning  ,  succession planning  ,  capability development  ,  employee relations  ,  hrbp  ,  decision making  ,  compensation  ,  performance management",1.0
Infogird Informatics Private Limited,2 yrs,Aurangabad,"html5  ,  jquery  ,  git  ,  xml  ,  json  ,  web development  ,  mongodb  ,  mvc framework  ,  svn  ,  javascript  ,  node.js",1.0
APTIV,10 yrs,China,"supplier development  ,  suppliers  ,  spc  ,  supplier quality",1.0
advance auto parts,3 yrs,Hyderabad/Secunderabad,"accounting  ,  external reporting  ,  icwa  ,  ca  ,  journal entries  ,  strong analytical skills  ,  account reconciliation  ,  ms office tools  ,  accounts",1.0
SAP Ariba,13 yrs,Bengaluru / Bangalore,"cca  ,  sap fi  ,  cost center accounting  ,  credit management  ,  solution delivery  ,  sap co  ,  fi  ,  fscm  ,  sap implementation  ,  enterprise resource planning  ,  fica  ,  database  ,  hana  ,  sap  ,  implementation",1.0
elektrobit india private limited,8 yrs,Bengaluru / Bangalore,"test automation  ,  test management  ,  test scripts  ,  test data  ,  security  ,  java  ,  linux  ,  defect management  ,  debugging  ,  test reporting  ,  jira  ,  testing  ,  software test  ,  system testing  ,  infrastructure  ,  agile  ,  sdlc",1.0
MICROSENZE DYNAMICS PRIVATE LIMITED,8 yrs,Malaysia,"consulting  ,  business analysis  ,  functional design",1.0
MICROSENZE DYNAMICS PRIVATE LIMITED,9 yrs,Malaysia,"fixed assets  ,  project accounting  ,  ar  ,  finance",1.0
MEP Infrastructure Developers Limited,6 yrs,Mumbai,"tds  ,  petty cash  ,  closing  ,  service tax  ,  statutory  ,  accounts  ,  verification  ,  ledger scrutiny",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"data engineer  ,  data marts  ,  data quality  ,  database  ,  data modeling  ,  xml  ,  data transformation  ,  etl  ,  data integration",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"microsoft technologies  ,  team player  ,  vb.net  ,  asp.net  ,  .net  ,  software engineering  ,  software engineer  ,  mvc  ,  soap",1.0
Larsen & Toubro Infotech Ltd,8 yrs,,"java  ,  git  ,  debugging  ,  software engineering  ,  software engineer  ,  technical skills  ,  rest  ,  github  ,  problem solving  ,  leadership skills  ,  soap",1.0
PUBLICIS GROUPE,6 yrs,"Gurgaon,  Mumbai,  Pune,  Bengaluru / Bangalore","advertising  ,  campaigns  ,  google adwords  ,  media planning",1.0
PUBLICIS GROUPE,6 yrs,"Gurgaon,  Mumbai,  Pune,  Bengaluru / Bangalore","advertising  ,  campaigns  ,  google adwords  ,  media planning",1.0
alliance recruitment agency,3 yrs,Bengaluru / Bangalore,"sales presentations  ,  sales process  ,  business development manager  ,  new business development  ,  sales  ,  business generation  ,  market  ,  management  ,  business development executive  ,  selling",1.0
AIS Technolabs PVT LTD,8 yrs,Ahmedabad,"svn  ,  storage  ,  database  ,  security  ,  node.js  ,  git  ,  api",1.0
AIS Technolabs PVT LTD,3 yrs,Ahmedabad,"svn  ,  storage  ,  database  ,  security  ,  node.js  ,  git  ,  api",1.0
Larsen & Toubro Infotech Ltd,3 yrs,Canada,"bi  ,  tester  ,  data warehousing  ,  qa  ,  database  ,  agile methodology  ,  testing  ,  qa testing",1.0
Techcronus,8 yrs,Ahmedabad,"general ledger  ,  cash flow  ,  fixed assets  ,  accounts receivable  ,  accounts payable",1.0
NLiven Technologies Pvt. Ltd.,3 yrs,Indore,"laravel  ,  bug fixing  ,  system analysis  ,  database  ,  uml  ,  codeigniter  ,  php",1.0
alliance recruitment agency,4 yrs,Ahmedabad,"sap erp  ,  data migration  ,  business applications  ,  sap business one  ,  implementation  ,  functional consultant",1.0
PUBLICIS GROUPE,5 yrs,Bengaluru / Bangalore,"soa  ,  rest api  ,  spring  ,  java  ,  xml  ,  html  ,  big data  ,  python  ,  oracle  ,  maven  ,  javascript  ,  messaging  ,  eclipse  ,  nosql  ,  unix  /  linux",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"c#  ,  fundamentals  ,  html5  ,  java  ,  .net  ,  software engineering  ,  html  ,  software engineer  ,  angularjs",1.0
Tanla Solutions Ltd,10 yrs,Bengaluru / Bangalore,"html5  ,  jquery  ,  docker  ,  git  ,  asp.net  ,  oops  ,  web api  ,  mysql  ,  mvc  ,  c#  ,  oracle  ,  entity framework  ,  svn  ,  windows  ,  javascript  ,  linq  ,  .net",1.0
silverlink technilogies,3 yrs,Australia,"css  ,  security  ,  java  ,  asp.net  ,  ssrs  ,  html  ,  object oriented programming  ,  mvc framework  ,  javascript  ,  visual studio  ,  c#.net",1.0
netradyne,5 yrs,Bengaluru / Bangalore,"artificial intelligence  ,  salesforce  ,  security  ,  c  ,  business environment  ,  machine learning  ,  written communication",1.0
integreon managed solutions pvt ltd.,6 yrs,,"hardware  ,  dns  ,  it manager  ,  windows 10  ,  network  ,  technical support  ,  installation  ,  microsoft server  ,  dhcp  ,  computer support  ,  infrastructure",1.0
barracuda networks india pvt ltd,10 yrs,,"workforce  ,  presentation skills  ,  volunteer  ,  compensation  ,  health benefits",1.0
barracuda networks india pvt ltd,10 yrs,,"workforce  ,  presentation skills  ,  volunteer  ,  compensation  ,  health benefits",1.0
barracuda networks india pvt ltd,10 yrs,Chicago,"workforce  ,  presentation skills  ,  volunteer  ,  compensation  ,  health benefits",1.0
XYLEM WATER SOLUTIONS INDIA PVT. LTD,3 yrs,,"shift management  ,  shift supervisor  ,  safety procedures  ,  lifting  ,  ideas  ,  license  ,  maintenance",1.0
Teradata Corporations,3 yrs,Hyderabad/Secunderabad,"algorithms  ,  c    ,  software design  ,  database management  ,  database  ,  system development  ,  software engineer  ,  big data  ,  c  ,  machine learning",1.0
zones corporate solutions,10 yrs,"Delhi,  Delhi/NCR","business requirements  ,  information technology  ,  business system analyst  ,  solution delivery  ,  functional analysis  ,  business case development  ,  functional specifications  ,  information management  ,  written communication  ,  analyst",1.0
Alstom Projects India Ltd.,3 yrs,Belgium,"project manager  ,  project management  ,  infrastructure",1.0
zscaler softech pvt ltd,15 yrs,Bengaluru / Bangalore,"security compliance  ,  windows internals  ,  information technology  ,  director  ,  fundamentals  ,  security  ,  windows  ,  written communication  ,  infrastructure  ,  gateway",1.0
ensilica india private limited,10 yrs,,"physical design  ,  soc  ,  design compiler  ,  drc  ,  verification  ,  eda  ,  lvs  ,  dft  ,  synopsys",1.0
Divya Placement Consultant,3 yrs,Faridabad,"computer operator  ,  data entry",1.0
Exxonmobil Company India Pvt Ltd,3 yrs,Thailand,"training  &  development  ,  leave  ,  workforce  ,  communication  ,  compensation",1.0
polygon chemicals pvt. ltd,10 yrs,New Zealand,"accounting  ,  reporting  ,  forecasting  ,  treasury  ,  accounts  ,  finance  ,  treasury management",1.0
TandA HR Solutions,1 yrs,Chennai,"interviewing  ,  screening  ,  exit interviews  ,  employee onboarding  ,  learning  ,  hr  ,  engagement activities  ,  performance management system  ,  recruitment  ,  hr executive",1.0
Textron India Pvt Ltd,7 yrs,,"six sigma  ,  suppliers  ,  level ii  ,  inspection  ,  radiographic testing  ,  ultrasonic testing",1.0
APTIV,6 yrs,,"algorithms  ,  c    ,  software design  ,  signal processing  ,  git  ,  python  ,  c  ,  softwaretesting",1.0
APTIV,5 yrs,"Turkey,  null,  null","bi  ,  data analytics  ,  data analyst  ,  qlik sense",1.0
APTIV,3 yrs,,"microprocessor  ,  tester  ,  system architecture  ,  agile methodology",1.0
advance auto parts,4 yrs,Hyderabad/Secunderabad,"accounts payable  ,  erp  ,  sap  ,  p2p  ,  reporting",1.0
advance auto parts,4 yrs,Hyderabad/Secunderabad,"accounts payable  ,  erp  ,  sap  ,  p2p  ,  reporting",1.0
advance auto parts,10 yrs,Hyderabad/Secunderabad,"docker  ,  memory management  ,  database  ,  java  ,  devops  ,  j2ee  ,  jpa  ,  software engineering  ,  project life cycle  ,  rest  ,  github  ,  wcs  ,  solution delivery",1.0
Tata Communications Ltd,2 yrs,Chennai,"project implementation  ,  service delivery  ,  Configuration Management",1.0
BOSTON SCIENTIFIC,6 yrs,,"validation protocols  ,  product quality  ,  validation  ,  quality engineer  ,  quality engineering  ,  quality processes",1.0
fiserv ce pvt ltd,10 yrs,,"internal control  ,  accounting  ,  cpa  ,  audit  ,  cisa  ,  information systems  ,  audit work  ,  ifrs  ,  it audit  ,  gaap  ,  finance",1.0
SAP Ariba,10 yrs,Mumbai,"internal auditor  ,  accountant  ,  accounting  ,  internal audit  ,  cisa  ,  information systems  ,  sox  ,  ca  ,  verification  ,  chartered accountant  ,  erp  ,  sap  ,  auditor  ,  sox 404  ,  finance",1.0
Alstom Projects India Ltd.,3 yrs,Thailand,"computer engineer  ,  database  ,  software engineering  ,  maximo  ,  infrastructure",1.0
Alstom Projects India Ltd.,8 yrs,,"ms project  ,  traffic management  ,  engineering  ,  monitoring  ,  building  ,  project planner  ,  project manager  ,  project planning",1.0
TERADATA INDIA PVT LTD,3 yrs,Hyderabad/Secunderabad,"accounting  ,  corporate accounting  ,  external audit  ,  reporting  ,  accounts payable  ,  excel  ,  finance",1.0
MICROSENZE DYNAMICS PRIVATE LIMITED,3 yrs,Malaysia,"customization  ,  data migration  ,  security  ,  java  ,  crm  ,  workflow  ,  order management  ,  implementation",1.0
MICROSENZE DYNAMICS PRIVATE LIMITED,10 yrs,Malaysia,"warehouse management  ,  logistics  ,  inventory  ,  scm  ,  supply chain  ,  purchase  ,  mrp  ,  supply chain management",1.0
Maestro Placement Consultancy Services,10 yrs,"Navi Mumbai,  Mumbai","project management  ,  engineering  ,  contracts  ,  building  ,  coordination  ,  civil design  ,  civil  ,  design  ,  value engineering",1.0
Maestro Placement Consultancy Services,9 yrs,"Navi Mumbai,  Mumbai","contractor  ,  project management  ,  electrical design  ,  electrical  ,  engineering  ,  project manager  ,  design  ,  design review  ,  functional safety",1.0
NLiven Technologies Pvt. Ltd.,5 yrs,Indore,"filing  ,  statutory  ,  legal  ,  reporting",1.0
NEEDSTREET WEB TECHNOLOGIES PVT. LTD,2 yrs,Thiruvananthapuram,"salesforce  ,  crm  ,   time management skills",1.0
oneaccess networks pvt ltd,23 yrs,Bengaluru / Bangalore,"test automation  ,  regression testing  ,  test cases  ,  endurance  ,  software test engineer  ,  selenium  ,  nms  ,  linux  ,  web application testing  ,  c  ,  robot framework  ,  director  ,  testing  ,  agile  ,  sdn  ,  nfv",1.0
zscaler softech pvt ltd,13 yrs,,"security compliance  ,  windows internals  ,  information technology  ,  debugger  ,  security  ,  debugging  ,  api  ,  perl  ,  python  ,  director  ,  ruby  ,  infrastructure  ,  gateway",1.0
zscaler softech pvt ltd,13 yrs,,"mq  ,  salesforce  ,  security  ,  gateway",1.0
Alliance University,3 yrs,Bengaluru / Bangalore,"reports  ,  management reports  ,  excel  ,  mis",1.0
alliance recruitment agency,10 yrs,Dubai,"cleaning  ,  laundry supervisor  ,  f & b  ,  guest satisfaction  ,  laundry  ,  linen",1.0
vConstruct Pvt Ltd,8 yrs,"Nagpur,  Pune","contractor  ,  modeling  ,  bim  ,  contracts  ,  building  ,  construction services  ,  construction engineer  ,  cost tracking  ,  design  ,  construction  ,  construction manager  ,  project management  ,  dpr  ,  engineering  ,  monitoring  ,  construction projects",1.0
Larsen & Toubro Infotech Ltd,9 yrs,,"algorithms  ,  python  ,  natural language processing  ,  data mining  ,  machine learning  ,  database",1.0
Larsen & Toubro Infotech Ltd,23 yrs,,"information technology  ,  business requirements  ,  consulting  ,  business analysis  ,  business analyst  ,  impact analysis  ,  use cases  ,  technology consulting",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"fundamentals  ,  c    ,  socket programming  ,  storage  ,  database  ,  software engineering  ,  data structures  ,  software engineer  ,  cache  ,  oracle",1.0
Larsen & Toubro Infotech Ltd,7 yrs,"Delhi,  Delhi/NCR","senior software engineer  ,  java  ,  spring mvc  ,  j2ee  ,  software engineer  ,  api  ,  rest  ,  oracle  ,  team player  ,  extjs  ,  javascript  ,  spring boot  ,  forms",1.0
SILVERMINE SOFTWARE,7 yrs,Bengaluru / Bangalore,"cache  ,  javascript  ,  asp.net  ,  web development  ,  api",1.0
Alstom Projects India Ltd.,3 yrs,Italy,"security  ,  technical skills  ,  c  ,  problem solving  ,  infrastructure",1.0
Alstom Projects India Ltd.,3 yrs,,"software development  ,  coding  ,  software architect  ,  infrastructure",1.0
Alstom Projects India Ltd.,3 yrs,Sweden,"innovation  ,  production  ,  implementation  ,  documentation  ,  problem solving  ,  safety systems  ,  safety",1.0
alliance recruitment agency,15 yrs,Hyderabad/Secunderabad,"innovation  ,  revenue generation  ,  distributors  ,  sales  ,  market  ,  b2b  ,  sales manager  ,  build  ,  leadership skills  ,  fmcg  ,  sales targets",1.0
alliance recruitment agency,3 yrs,Mumbai,"ux designer  ,  mobile  ,  photoshop  ,  designer  ,  design strategy  ,  graphic designer  ,  user experience  ,  indesign  ,  illustrator  ,  flash",1.0
Tridiagonal Solutions Pvt. Ltd.,6 yrs,Pune,"css  ,  rest api  ,  ajax  ,  web development  ,  html  ,  software engineering  ,  data structures  ,  python  ,  javascript  ,  nosql  ,  node.js  ,  .net  ,  algorithms  ,  bi  ,  storage  ,  react.js  ,  database  ,  git  ,  debugging  ,  software engineer  ,  mongodb  ,  rest  ,  rdbms  ,  team player  ,  express.js",1.0
bdo rise private limited,10 yrs,Bengaluru / Bangalore,"c  ,  adobe acrobat  ,  technical skills  ,   Privacy Enhancing Tools",1.0
Veeva Systems,8 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,8 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,8 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,8 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,8 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,11 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,11 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,11 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,11 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Veeva Systems,11 yrs,,"big data  ,  san  ,  director  ,  client facing experience",1.0
Larsen & Toubro Infotech Ltd,5 yrs,,"html5  ,  ajax  ,  javascript  ,  grunt  ,  git  ,  consultant  ,  infrastructure  ,  web developer  ,  angularjs",1.0
Olam,8 yrs,Chennai,"market data  ,  pnl  ,  banking  ,  risk analyst  ,  portfolio  ,  market risk  ,  risk reporting  ,  risk",1.0
vConstruct Pvt Ltd,11 yrs,Pune,"jquery  ,  oop  ,  java  ,  c#  ,  rest  ,  asp .net  ,  problem solving  ,  machine learning  ,  javascript  ,  node.js  ,  project delivery",1.0
Larsen & Toubro Infotech Ltd,12 yrs,,"hive  ,  cloudera  ,  scala  ,  hibernate  ,  pig  ,  spring  ,  unix scripting  ,  database  ,  java  ,  dao  ,  spring mvc  ,  debugging  ,  hadoop  ,  hbase  ,  junit  ,  oracle  ,  maven  ,  oozie  ,  javascript  ,  mapreduce  ,  written communication  ,  servlets  ,  hdfs  ,  sqoop",1.0
Larsen & Toubro Infotech Ltd,14 yrs,"Hyderabad/Secunderabad,  Bengaluru / Bangalore","microsoft technologies  ,  bi  ,  microsoft dynamics ax  ,  database  ,  microsoft .net  ,  morphx  ,  solution architect  ,  workflow  ,  implementation  ,  microsoft dynamics  ,  technical consultant  ,  ax  ,  aif",1.0
Larsen & Toubro Infotech Ltd,10 yrs,,"software design  ,  it management  ,  database  ,  java  ,  xml  ,  html  ,  c  ,  oracle  ,  solution architect  ,  problem solving  ,  leadership skills  ,  reporting tools",1.0
Rimini Street,9 yrs,"Hyderabad/Secunderabad,  Bengaluru / Bangalore","salesforce  ,  oracle  ,  software support  ,  bi  ,  database  ,  debugging  ,  problem solving  ,  production support  ,  consultant  ,  written communication",1.0
Imaging Endpoints Pvt. Ltd.,3 yrs,Hyderabad/Secunderabad,"service oriented  ,  imaging  ,  written communication",1.0
integreon managed solutions private limited,6 yrs,,"hardware  ,  dns  ,  it manager  ,  windows 10  ,  network  ,  technical support  ,  installation  ,  microsoft server  ,  dhcp  ,  computer support  ,  infrastructure",1.0
Koch Global Business Services,3 yrs,Bengaluru / Bangalore,"iso  ,  nx cad  ,  ecn  ,  tqm  ,  ecr  ,  manufacturing  ,  action  ,  documentation  ,  dfm  ,  ideas  ,  total quality management  ,  planning  ,  plastic  ,  dfmea  ,  electronic components  ,  production  ,  vehicles  ,  pcb  ,  product development  ,  technical skills  ,  npd  ,  problem solving  ,  plm  ,  product design",1.0
WALMART INDIA,8 yrs,,"talent management  ,  communication  ,  Business Operations  ,  corporate social responsibility",1.0
Exxonmobil Company India Pvt Ltd,3 yrs,,"reports  ,  legal  ,  reporting  ,  accounts receivable  ,  collection  ,  excel  ,  accounts  ,  finance",1.0
Exxonmobil Company India Pvt Ltd,10 yrs,,"fundamentals  ,  spring  ,  python  ,  leadership skills",1.0
PUBLICIS GROUPE,2 yrs,"Gurgaon,  Mumbai,  Pune,  Bengaluru / Bangalore","campaigns  ,  performance marketing  ,  google adwords  ,  marketing",1.0
verisk analytics india private limited,2 yrs,Mumbai,"orchestration  ,  python  ,  mining  ,  leadership skills",1.0
Binance,8 yrs,,"fundamentals  ,  algorithms  ,  conference  ,  orchestration  ,  storage  ,  it management  ,  database  ,  devops  ,  rest  ,  cryptography  ,  team player  ,  javascript  ,  written communication  ,  infrastructure",1.0
Binance,8 yrs,,"fundamentals  ,  algorithms  ,  conference  ,  orchestration  ,  storage  ,  it management  ,  database  ,  devops  ,  rest  ,  solution architect  ,  cryptography  ,  team player  ,  javascript  ,  written communication  ,  infrastructure",1.0
Binance,8 yrs,,"fundamentals  ,  algorithms  ,  conference  ,  orchestration  ,  storage  ,  it management  ,  database  ,  devops  ,  rest  ,  cryptography  ,  team player  ,  javascript  ,  written communication  ,  infrastructure",1.0
BOSTON SCIENTIFIC,6 yrs,Ireland,"manufacturing engineer  ,  production  ,  robotics  ,  manufacturing  ,  innovation  ,  mechanical engineering  ,  equipment validation  ,  documentation  ,  problem solving  ,  chemical engineer  ,  harness",1.0
BOSTON SCIENTIFIC,10 yrs,,"production coordinator  ,  production  ,  lean  ,  safety  ,  manufacturing  ,  action  ,  mes  ,  innovation  ,  documentation  ,  production control  ,  ideas  ,  harness  ,  lean manufacturing  ,  manufacturing process  ,  supervisor",1.0
TERADATA INDIA PVT LTD,2 yrs,Hyderabad/Secunderabad,"system administration  ,  devops  ,  linux  ,  windows os  ,  unix",1.0
TERADATA INDIA PVT LTD,2 yrs,Hyderabad/Secunderabad,"system administration  ,  devops  ,  linux  ,  windows os  ,  unix",1.0
TERADATA INDIA PVT LTD,2 yrs,Hyderabad/Secunderabad,"system administration  ,  devops  ,  linux  ,  windows os  ,  unix",1.0
TERADATA INDIA PVT LTD,2 yrs,Hyderabad/Secunderabad,"system administration  ,  devops  ,  linux  ,  windows os  ,  unix",1.0
TERADATA INDIA PVT LTD,2 yrs,Hyderabad/Secunderabad,"system administration  ,  devops  ,  linux  ,  windows os  ,  unix",1.0
Infoblox,9 yrs,Bengaluru / Bangalore,"Sales Operations  ,  Corporate Sales  ,  Channel Sales",1.0
Maestro Placement Consultancy Services,10 yrs,"Navi Mumbai,  Mumbai","third party inspection  ,  quality audit  ,  ndt level  ,  inspection  ,  itp  ,  nace  ,  asme  ,  mpi  ,  wps  ,  aws  ,  ndt",1.0
netradyne,10 yrs,Bengaluru / Bangalore,"artificial intelligence  ,  security  ,  c  ,  director  ,  team player  ,  machine learning  ,  messaging",1.0
pepper content,8 yrs,Mumbai,"information technology  ,  apex  ,  salesforce  ,  security  ,  rest  ,  visualforce  ,  javascript",1.0
MEP Infrastructure Developers Limited,11 yrs,Mumbai,"legal  ,  arbitration  ,  drafting  ,   convert prospects",1.0
zscaler softech pvt ltd,13 yrs,Bengaluru / Bangalore,"security compliance  ,  windows internals  ,  information technology  ,  debugger  ,  security  ,  debugging  ,  api  ,  perl  ,  python  ,  ruby  ,  infrastructure  ,  gateway",1.0
zscaler softech pvt ltd,13 yrs,,"apache  ,  python  ,  unix  ,  tcpdump  ,  security  ,  database  ,  linux  ,  perl  ,  cloud services  ,  written communication  ,  gateway",1.0
zscaler softech pvt ltd,13 yrs,Bengaluru / Bangalore,"apache  ,  python  ,  unix  ,  tcpdump  ,  security  ,  database  ,  linux  ,  perl  ,  cloud services  ,  written communication  ,  gateway",1.0
zones corporate solutions,10 yrs,Australia,"information technology  ,  storage  ,  security  ,  crm  ,  c  ,  data center  ,  emc  ,  aws",1.0
AMAZON INDIA PVT LTD,3 yrs,Gurgaon,"production  ,  ideas  ,  root cause analysis  ,  sop  ,  operational excellence",1.0
Larsen & Toubro Infotech Ltd,3 yrs,Pune,"conference  ,  data migration  ,  security  ,  master data  ,  implementation  ,  functional support  ,  logical thinking  ,  functional consultant",1.0
Larsen & Toubro Infotech Ltd,3 yrs,,"ajax  ,  spring  ,  java  ,  xml  ,  software engineering  ,  html  ,  documentum  ,  oracle  ,  eclipse  ,  hibernate  ,  git  ,  spring mvc  ,  json  ,  software engineer  ,  ejb  ,  junit  ,  svn  ,  extjs  ,  spring boot",1.0
Larsen & Toubro Infotech Ltd,3 yrs,"Mumbai,  Chennai","conference  ,  data migration  ,  security  ,  master data  ,  implementation  ,  functional support  ,  logical thinking  ,  functional consultant",1.0
Larsen & Toubro Infotech Ltd,11 yrs,,"fundamentals  ,  soa  ,  information technology  ,  hibernate  ,  docker  ,  spring  ,  oop  ,  java  ,  java se  ,  linux  ,  j2ee  ,  software engineering  ,  software engineer  ,  api  ,  cloud computing  ,  oracle rdbms  ,  unix",1.0
Alstom Projects India Ltd.,5 yrs,Italy,"business partner  ,  hr  ,  workforce planning  ,  recruitment  ,  hr policies  ,  hr manager  ,  hr processes  ,  performance management",1.0
alliance recruitment agency,3 yrs,Pune,"payroll processing  ,  human capital  ,  hr executive  ,  payroll  ,  placement  ,  attendance",1.0
eurofins it solutions pvt ltd,8 yrs,"Hyderabad/Secunderabad,  Cochin/ Kochi/ Ernakulam,  Bengaluru / Bangalore","fsms  ,  lead auditor  ,  food industry  ,  food science  ,  iso 22000",1.0
Risk Management Solutions Inc.,8 yrs,Noida/Greater Noida,"algorithms  ,  software design  ,  senior software engineer  ,  storage  ,  docker  ,  memory management  ,  git  ,  asp.net  ,  software engineer  ,  software engineering  ,  mvc  ,  c#",1.0
knowledge lens,5 yrs,Bengaluru / Bangalore,"business requirements  ,  big data analytics  ,  bi  ,  tableau  ,  data science  ,  qlik sense  ,  requirement analysis",1.0
Xpetize Technology Solutions Private Limited,9 yrs,"Pune,  Bengaluru / Bangalore","user exits  ,  sap bw  ,  solution delivery  ,  abap  ,  security  ,  bw  ,  bapi  ,  hana  ,  sap  ,  implementation  ,  sap basis  ,  migration  ,  gateway",1.0
